listings,Ticker,listing date,,,,,,,,,,,
Alchemix,ALCX,15-11-2021,,,,,,,,,,,
Alchemy Pay,ACH,02-08-2021,,,,,,,,,,,
Adventure Gold,AGLD,20-09-2021,,,,,,,,,,,
Algorand,ALGO,14-08-2019,,,,,,,,,,,
Amp,AMP,08-06-2021,,,,,,,,,,,
Ampleforth Governance Token,FORTH,21-04-2021,,,,,,,,,,,
Ankr,ANKR,23-03-2021,,,,,,,,,,,
API3,API3,08-12-2021,,,,,,,,,,,
ARPA Chain,ARPA,18-10-2021,,,,,,,,,,,
Assemble Protocol,ASM,20-10-2021,,,,,,,,,,,
Augur,REP,17-04-2019,,,,,,,,,,,
Avalanche,AVAX,29-09-2021,,,,,,,,,,,
Axie Infinity,AXS,11-08-2021,,,,,,,,,,,
BadgerDAO,BADGER,13-10-2021,,,,,,,,,,,
Band Protocol,BAND,05-08-2020,,,,,,,,,,,
BarnBridge,BOND,23-06-2021,,,,,,,,,,,
Basic Attention Token,BAT,02-11-2018,,,,,,,,,,,
Biconomy,BICO,01-12-2021,,,,,,,,,,,
Bluzelle,BLZ,08-12-2021,,,,,,,,,,,
Bounce Token Auction,AUCTION,18-10-2021,,,,,,,,,,,
Braintrust,BTRST,15-09-2021,,,,,,,,,,,
Cardano,ADA,16-03-2021,,,,,,,,,,,
Cartesi,CTSI,04-05-2021,,,,,,,,,,,
Chainlink,LINK,26-06-2019,,,,,,,,,,,
Civic,CVC,07-12-2018,,,,,,,,,,,
Clover Finance,CLV,17-07-2021,,,,,,,,,,,
Cosmos,ATOM,14-02-2020,,,,,,,,,,,
COTI,COTI,25-08-2021,,,,,,,,,,,
COVAL,COVAL,06-12-2021,,,,,,,,,,,
Crypto.com Chain,CRO,02-11-2021,,,,,,,,,,,
Curve DAO Token,CRV,23-03-2021,,,,,,,,,,,
Dash,DASH,12-09-2019,,,,,,,,,,,
Decentraland,MANA,07-12-2018,,,,,,,,,,,
Decentralized Social,DESO,13-12-2021,,,,,,,,,,,
DerivaDAO,DDX,31-08-2021,,,,,,,,,,,
