,Did not list,Consideration date,name,Price at listing,Price at listing BTC,Current price,Current BTC,Return BTC,Return USD,a16z,Coinbase ventures,Launch mkt cap,,,,
no coinmarketcap data until 11-6-2020,Render,10/6/20,render-token,0.05307,0.000005597,5.414468785,0.000106503,1802.90%,10102.50%,,,,https://api.coingecko.com/api/v3/coins/render-token/history?date=10-6-2020,https://api.coingecko.com/api/v3/coins/render-token/history?date=27-12-2021,,
,Vechain,10/6/20,vechain,0.008190909,8.39E-07,0.094693861,1.86E-06,122.00%,1056.10%,,,,https://api.coingecko.com/api/v3/coins/vechain/history?date=10-6-2020,https://api.coingecko.com/api/v3/coins/vechain/history?date=27-12-2021,,
,Aragon,10/6/20,aragon,1.094767894,0.000112057,9.778256484,0.000192355,71.70%,793.20%,,,,https://api.coingecko.com/api/v3/coins/aragon/history?date=10-6-2020,https://api.coingecko.com/api/v3/coins/aragon/history?date=27-12-2021,,
,Digibyte,10/6/20,digibyte,0.016521646,1.69E-06,0.038544548,7.58E-07,-55.20%,133.30%,,,,https://api.coingecko.com/api/v3/coins/digibyte/history?date=10-6-2020,https://api.coingecko.com/api/v3/coins/digibyte/history?date=27-12-2021,,
,Arweave,10/6/20,arweave,1.076954803,0.000110234,61.62568305,0.001212178,999.60%,5622.20%,Yes,Yes,,https://api.coingecko.com/api/v3/coins/arweave/history?date=10-6-2020,https://api.coingecko.com/api/v3/coins/arweave/history?date=27-12-2021,,
,Siacoin,10/6/20,siacoin,0.002694339,2.76E-07,0.016757526,3.30E-07,19.50%,522.00%,,,,https://api.coingecko.com/api/v3/coins/siacoin/history?date=10-6-2020,https://api.coingecko.com/api/v3/coins/siacoin/history?date=27-12-2021,,
,,,,,,,Average,493.40%,3038.20%,,,,,,,
,Blockstack,31-07-2020,blockstack,,,,,,,,,,,,,
,Helium,31-07-2020,helium,,,,,,,,,,,,,
,Hedera,31-07-2020,hedera-hashgraph,,,,,,,,,,,,,
,Kava,31-07-2020,kava,,,,,,,,,,,,,
,Melon,31-07-2020,melon,,,,,,,,,,,,,
,Reserve Rights,31-07-2020,reserve-rights-token,,,,,,,,,,,,,
,Theta,31-07-2020,theta-fuel,,,,,,,,Yes,,,,,
,,,,,,,,,,,,,,,,
,Chia,19-09-2019,chia,,,,,,,Yes,,,,,,
,Mina,19-09-2019,mina-protocol,,,,,,,,,,,,,
,Handshake,19-09-2019,handshake,,,,,,,Yes,,,,,,
,Kadena,19-09-2019,kadena,,,,,,,,,,,,,
,Mobilecoin,19-09-2019,mobilecoin,,,,,,,,,,,,,
,NEAR,19-09-2019,near,,,,,,,Yes,Yes,,,,,
,Nervos,19-09-2019,nervos-network,,,,,,,,,,,,,
,Spacemesh,19-09-2019,,,,,,,,,Yes,,,,,evaluated with no token
,,,,,,,,,,,,,,,,
,Decred,5/8/19,decred,,,,,,,,,,,,,
,Harmony,5/8/19,harmony,,,,,,,,,,,,,
,Ontology,5/8/19,ong,,,,,,,,,,,,,
,Waves,5/8/19,waves,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,aeternity,7/12/18,aeternity,,,,,,,,,,,,,
,bread wallet,7/12/18,bread,,,,,,,,,,,,,
,IOST,7/12/18,iostoken,,,,,,,,,,,,,
,Kin,7/12/18,kin,,,,,,,,,,,,,
,Mainframe,7/12/18,mainframe,,,,,,,,,,,,,
,Neo,7/12/18,neo,,,,,,,,,,,,,
,Po.et,7/12/18,poet,,,,,,,,,,,,,
,Quarkchain,7/12/18,quark-chain,,,,,,,,,,,,,
,Status,7/12/18,status,,,,,,,,,,,,,
