,listings,Ticker,listing date,ids,Price at 1/09 USD,Price at 1/09 BTC,Price at 1/09 ETH,Current Market Cap
0,Alchemix,ALCX,15-11-2021,alchemix,285.3432262690673,0.006835120850711452,0.09225331304291394,273888160.2576253
1,Alchemy Pay,ACH,02-08-2021,alchemy-pay,0.05985336576545468,1.4337294551472846e-06,1.9350980784894475e-05,230182025.13957492
2,Adventure Gold,AGLD,20-09-2021,adventure-gold,1.4562853633370014,3.485423688971958e-05,0.0004700819257926903,112313596.06095639
3,Algorand,ALGO,14-08-2019,algorand,1.3883032535609787,3.322490030472014e-05,0.0004481069308425947,8978193063.790184
4,Amp,AMP,08-06-2021,amp-token,0.04306296347072145,1.0312654158030925e-06,1.3918942080520908e-05,2063298533.2929
5,Ampleforth Governance Token,FORTH,21-04-2021,ampleforth-governance-token,7.801796044936616,0.00018683624613440215,0.0025217202561394125,67772653.18103367
6,Ankr,ANKR,23-03-2021,ankr,0.0919986763642764,2.203170557424486e-06,2.973609209848228e-05,752749158.8409724
7,API3,API3,08-12-2021,api3,3.809486777585828,9.117495644533566e-05,0.001229684048039787,167108992.52637574
8,ARPA Chain,ARPA,18-10-2021,arpa-chain,0.08214309865631726,1.9676584361543923e-06,2.6557395785209466e-05,81025777.58345696
9,Assemble Protocol,ASM,20-10-2021,assemble-protocol,0.1032983431293657,2.469834691492707e-06,3.329640397261764e-05,0.0
10,Augur,REP,17-04-2019,augur,16.250994994760315,0.0003891764003162484,0.005252696049046771,112568353.18753883
11,Avalanche,AVAX,29-09-2021,binance-peg-avalanche,84.67436887474084,0.002023265541483143,0.027276103556705844,0.0
12,Axie Infinity,AXS,11-08-2021,axie-infinity,70.53633869747883,0.0016896297335243502,0.02280485512077121,4968121902.327146
13,BadgerDAO,BADGER,13-10-2021,badger-dao,12.28831220919079,0.0002943546272301935,0.0039728909209660514,123129353.06290601
14,Band Protocol,BAND,05-08-2020,band-protocol,4.964681011544519,0.0001188934391656813,0.0016046993025673531,207480896.99876425
15,BarnBridge,BOND,23-06-2021,barnbridge,15.124223435512944,0.00036195320766001357,0.00488169233031886,80390848.66444774
16,Basic Attention Token,BAT,02-11-2018,basic-attention-token,1.0285036973017714,2.463681075727446e-05,0.0003325219063146918,1544092793.2941422
17,Biconomy,BICO,01-12-2021,biconomy,3.5387508491976094,8.476735204506068e-05,0.001144101067827923,259046763.04364628
18,Bluzelle,BLZ,08-12-2021,bluzelle,0.18666244792351366,4.4675153250410925e-06,6.0253742296768154e-05,60571546.04841528
19,Bounce Token Auction,AUCTION,18-10-2021,auction,21.02330571782709,0.0005035929436337865,0.006796970893413612,151781985.95738608
20,Braintrust,BTRST,15-09-2021,braintrust,3.1691609448556606,7.584961649311399e-05,0.0010229899425007005,0.0
21,Cardano,ADA,16-03-2021,cardano,1.1886263321119366,2.8472393519031645e-05,0.0003842905911632647,38305510646.897575
22,Cartesi,CTSI,04-05-2021,cartesi,0.5761197275448612,1.3800390546277931e-05,0.00018626323908343636,284031326.7089482
23,Chainlink,LINK,26-06-2019,chainlink,25.543917582482937,0.0006117219221303598,0.008256382763390508,12014973756.776304
24,Civic,CVC,07-12-2018,civic,0.3172620716249824,7.599705902459358e-06,0.0001025728824649367,213833154.38321713
25,Clover Finance,CLV,17-07-2021,clover-finance,0.5818830573097327,1.3934848526002824e-05,0.00018807801227700574,123412948.75111566
26,Cosmos,ATOM,14-02-2020,cosmos,36.00902221769303,0.0008625612802940641,0.011641950090960314,10345325849.018055
27,COTI,COTI,25-08-2021,coti,0.3164861551835929,7.579163162870501e-06,0.00010229561804965535,276413843.28850937
28,COVAL,COVAL,06-12-2021,circuits-of-value,0.11187693246290283,2.6799036507344647e-06,3.617053682237687e-05,201012765.63446358
29,Crypto.com Chain,CRO,02-11-2021,crypto-com-chain,0.4544235427506832,1.0882467113163742e-05,0.00014688016016065208,11530600375.985086
